postal_code,latitude,longitude,name,state_code,county
00501,40.922326,-72.637078,HOLTSVILLE,NY,SUFFOLK
00544,40.922326,-72.637078,HOLTSVILLE,NY,SUFFOLK
00601,18.165273,-66.722583,ADJUNTAS,PR,ADJUNTAS
00602,18.393103,-67.180953,AGUADA,PR,AGUADA
00603,18.455913,-67.14578,AGUADILLA,PR,AGUADILLA
00604,18.49352,-67.135883,AGUADILLA,PR,AGUADILLA
00605,18.465162,-67.141486,AGUADILLA,PR,AGUADILLA
00606,18.172947,-66.944111,MARICAO,PR,MARICAO
00610,18.288685,-67.139696,ANASCO,PR,ANASCO
00611,18.279531,-66.80217,ANGELES,PR,UTUADO
00612,18.450674,-66.698262,ARECIBO,PR,ARECIBO
00613,18.458093,-66.732732,ARECIBO,PR,ARECIBO
00614,18.429675,-66.674506,ARECIBO,PR,ARECIBO
00616,18.444792,-66.640678,BAJADERO,PR,ARECIBO
00617,18.447092,-66.544255,BARCELONETA,PR,BARCELONETA
00622,17.998531,-67.187318,BOQUERON,PR,CABO ROJO
00623,18.062201,-67.149541,CABO ROJO,PR,CABO ROJO
00624,18.023535,-66.726156,PENUELAS,PR,PENUELAS
00627,18.477891,-66.85477,CAMUY,PR,CAMUY
00631,18.269187,-66.864993,CASTANER,PR,LARES
00636,18.113284,-67.039706,ROSARIO,PR,SAN GERMAN
00637,18.087322,-66.934911,SABANA GRANDE,PR,SABANA GRANDE
00638,18.33616,-66.472087,CIALES,PR,CIALES
00641,18.250027,-66.698957,UTUADO,PR,UTUADO
00646,18.43606,-66.281954,DORADO,PR,DORADO
00647,17.969594,-66.939754,ENSENADA,PR,GUANICA
00650,18.360125,-66.562311,FLORIDA,PR,FLORIDA
00652,18.457254,-66.603358,GARROCHALES,PR,ARECIBO
00653,17.972468,-66.898661,GUANICA,PR,GUANICA
00656,18.02328,-66.786909,GUAYANILLA,PR,GUAYANILLA
00659,18.481391,-66.808696,HATILLO,PR,HATILLO
00660,18.145486,-67.135323,HORMIGUEROS,PR,HORMIGUEROS
00662,18.480285,-67.028155,ISABELA,PR,ISABELA
00664,18.217606,-66.598306,JAYUYA,PR,JAYUYA
00667,18.015099,-67.055973,LAJAS,PR,LAJAS
00669,18.295952,-66.881925,LARES,PR,LARES
00670,18.252135,-66.990967,LAS MARIAS,PR,LAS MARIAS
00674,18.44553,-66.490268,MANATI,PR,MANATI
00676,18.383727,-67.080799,MOCA,PR,MOCA
00677,18.335781,-67.252547,RINCON,PR,RINCON
00678,18.45303,-66.933689,QUEBRADILLAS,PR,QUEBRADILLAS
00680,18.219023,-67.508068,MAYAGUEZ,PR,MAYAGUEZ
00681,18.219023,-67.508068,MAYAGUEZ,PR,MAYAGUEZ
00682,18.219023,-67.508068,MAYAGUEZ,PR,MAYAGUEZ
00683,18.113284,-67.039706,SAN GERMAN,PR,SAN GERMAN
00685,18.3236,-66.972227,SAN SEBASTIAN,PR,SAN SEBASTIAN
00687,18.316976,-66.415207,MOROVIS,PR,MOROVIS
00688,18.429675,-66.674506,SABANA HOYOS,PR,ARECIBO
00690,18.476196,-67.139597,SAN ANTONIO,PR,AGUADILLA
